station_name_cleaned,num_trips
Carroll St & 5 Ave,71695
Carroll St & 6 Ave,67593
Carroll St & Bond St,56172
Carroll St & Columbia St,52371
Carroll St & Franklin Ave,15008
Carroll St & Smith St,94190
Carroll St & Washington Ave,17657
Cathedral Pkwy & Broadway,136509
Catherine St & Monroe St,165466
Caton Ave & Argyle Rd,5346
Caton Ave & E 10 St,4101
Caton Ave & E 7 St,3266
Cauldwell Ave & E 158 St,1678
Cauldwell Ave & E 161 St,2509
Cedar Ave & W Fordham Rd,1766
Cedar St & Evergreen Ave,8272
Cedar St & Myrtle Ave,18735
Center Blvd & 48 Ave,43359
Center Blvd & 51 Ave,47974
Center Blvd & Borden Ave,15802
Center Blvd & Borden Ave,1811
Central Ave & Covert St,6182
Central Ave & Decatur St,5980
Central Ave & Flushing Ave,15822
Central Ave & Himrod St,11182
Central Ave & Melrose St,10317
Central Ave & Starr Street,20089
Central Ave & Weirfield St,9961
Central Ave & Woodbine St,10532
Central Park North & Adam Clayton Powell Blvd,235323
Central Park S & 6 Ave,585307
Central Park W & W 103 St,37140
Central Park W & W 91 St,59327
Central Park W & W 96 St,144107
Central Park W & W 97 St,59834
Central Park West & W 100 St,85567
Central Park West & W 102 St,45117
Central Park West & W 68 St,314424
Central Park West & W 72 St,343913
Central Park West & W 76 St,210522
Central Park West & W 82 St,12419
Central Park West & W 85 St,262937
Central Park West & W 85 St (old),1478
Centre St & Chambers St,493193
Centre St & Seneca Ave,3979
Centre St & Worth St,208048
Charlotte St & Boston Rd,665
Cherry St,173006
Chester Ave & 12 Ave,1590
Christopher St & Greenwich St,624373
Church Ave & McDonald Ave,2202
Church Ave & Story St,1859
Church St & Leonard St,14098
Clark St & Henry St,196547
Classon Ave & St Marks Ave,57703
Clay Ave & Claremont Pkwy,2697
Clay Ave & E 173 St,2253
Clermont Ave & Lafayette Ave,82295
Clermont Ave & Park Ave,55760
Cleveland Pl & Spring St,650375
Cliff St & Fulton St,209489
Cliff St & Fulton St (Old),1608
Cliff St & Fulton St_1,14957
Clinton Ave & Flushing Ave,69478
Clinton Ave & Myrtle Ave,166711
Clinton St	& Cherry St,695
Clinton St & 4 Place,54122
Clinton St & Centre St,14456
Clinton St & Cherry St,7197
Clinton St & Grand St,333596
Clinton St & Joralemon St,147552
Clinton St & Newark St,13
Clinton St & Tillary St,84696
Clinton St & Union St,62629
Clinton St\t& Cherry St,23397
Coffey St & Conover St,33289
Coffey St & Ferris St,782
College Ave & E 170 St,1621
Columbia Heights & Cranberry St,72736
Columbia St & Degraw St,58342
Columbia St & Kane St,52919
Columbia St & Lorraine St,7581
Columbia St & Rivington St,159492
Columbia St & W 9 St,11729
Columbus Ave & W 103 St,32141
Columbus Ave & W 72 St,375365
Columbus Ave & W 95 St,183761
Commerce St & Van Brunt St,22630
Concord St & Bridge St,71484
Concourse Village East & E 158 St,3303
Concourse Village West & E 156 St,2469
Congress St & Clinton St,82288
Congress St & Hicks St,7099
Convent Ave & W 129 St,41
Convent Ave & W 135 St,7289
Convent Ave & W 151 St,3498
Cooper Square & Astor Pl,274669
Cooper Square & E 7 St,113138
Court St & Nelson St,47463
Court St & State St,133228
Courtlandt Ave & E 149 St,4898
Courtlandt Ave & E 157 St,2435
Crescent St & 30 Ave,38109
Crescent St & 34 Ave,28820
Crescent St & 35 Ave,20148
Crescent St & Broadway,47270
Crescent St & Ditmars Blvd,20245
Creston Ave & E 178 St,972
Creston Ave & E 181 St,1202
Crotona Park East & E 173 St,1284
Crotona Park North & Prospect Ave,3399
Crown St & Bedford Ave,3414
Cumberland St & Lafayette Ave,109012
Cypress Ave & George St,3023
Cypress Ave & Palmetto St,3432
Dahill Rd & 12 Ave,2981
Davidson Ave & W Burnside Ave,1810
Dawson St & Intervale Ave,1211
Dean St & 4 Ave,141668
Dean St & Franklin Ave,57028
Dean St & Hoyt St,55097
